AccountNumber,TaxMap,GPIN,LUC,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,,,
102,31-1-0-103-B,6778-02-8104,SNGL FAM SUB,18.17,AC,216700,0,216700,501400,6700,724800,193200,0,193200,423700,3800,620700,A2,AG/LTD,,,
103,4-1-0-62-0,6813-40-0029,SNGL FAM SUB,6.25,AC,66500,0,66500,114000,15600,196100,65300,0,65300,100500,15600,181400,A1,AG/GEN,,,
104,64-12-A-8-0,7724-50-5388,SNGL FAM SUB,0,AC,77000,0,77000,216900,16200,310100,67000,0,67000,190700,14400,272100,R1,RES/LTD,,,
106,57-11-0-3-A,7715-17-3653,SNGL FAM SUB,0.97,AC,13000,0,13000,0,0,13000,11300,0,11300,0,0,11300,A2,AG/LTD,,,
107,57-11-0-4-0,7715-07-9260,AG 20-100 AC,34.024,AC,1080700,1064400,16300,0,4500,1085200,939100,924600,14500,0,4500,943600,A2,AG/LTD,,,
12,62-18-0-7-0,7704-64-9459,SNGL FAM SUB,3.19,AC,223500,0,223500,517900,5300,746700,200300,0,200300,458200,4700,663200,A2,AG/LTD,,,
13,5-1-0-36-E,6823-08-3444,SNGL FAM SUB,3.73,AC,59000,0,59000,87900,4700,151600,57900,0,57900,74300,2900,135100,A1,AG/GEN,,,
14,5-1-0-60-A,6823-62-3321,SNGL FAM SUB,13.53,AC,108600,0,108600,0,0,108600,107900,0,107900,0,0,107900,A1,AG/GEN,,,
15,5-17-0-1-0,6823-64-8417,SNGL FAM SUB,3.465,AC,52300,50600,1700,0,0,52300,51300,49800,1500,0,0,51300,A1,AG/GEN,,,
16,5-17-0-2-0,6823-64-9264,SNGL FAM SUB,3.55,AC,52700,51000,1700,0,0,52700,51800,50300,1500,0,0,51800,A1,AG/GEN,,,
17,5-17-0-3-0,6823-74-0082,SNGL FAM SUB,3.12,AC,50500,49000,1500,0,0,50500,49600,48200,1400,0,0,49600,A1,AG/GEN,,,
18,5-17-0-4-0,6823-73-2713,SNGL FAM SUB,6,AC,75000,72000,3000,0,0,75000,73700,71100,2600,0,0,73700,A1,AG/GEN,,,
19,5-17-0-5-0,6823-63-4594,SNGL FAM SUB,8.19,AC,79300,75500,3800,0,0,79300,77200,73700,3500,0,0,77200,A1,AG/GEN,,,
20,6-1-0-49-A,6832-18-4367,SNGL FAM SUB,3.3,AC,59100,0,59100,252700,0,311800,57400,0,57400,224400,0,281800,A1,AG/GEN,,,
21,7-4-0-A-0,6843-20-9666,SNGL FAM SUB,6.01,AC,69400,0,69400,341700,25900,437000,67500,0,67500,303200,26600,397300,A1,AG/GEN,,,
22,7-4-0-B-0,6843-30-0243,SNGL FAM SUB,4.04,AC,65100,0,65100,154500,42300,261900,63300,0,63300,133900,35500,232700,A1,AG/GEN,,,
