OBJECTID,Shape,Join_Count,TARGET_FID,PIN,PIN2,PTRACT2,GPIN,Parcel_Tex,Parts,SUB_NAME,DEED_AC,ACTIVE,EXPIRY,Last,ACC_NO,class,TCSD,SHARE_TC,EDITDATE,EDITBY,EDITTYPE,TRANSACTIO,TRANSACT_1,TRATE_ID,YearFor,Fire_Dist,Calc_Acrea,Parcel_Not,TAZ_Model_,Possible_Z,Common_Nam,Common_N_1,GPS_Y_N,GPS_Year,Calc_Acr_1,Calc_Acr_2,Data_year,ORIG_FID,AccountNumber,TaxMap,GPIN,LUC_2022,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,UserAccoun,LandUseCod2018
1,Point,1,0,  1   1    30,1-1-0-30-0,1-1-0-30-0,6814-26-7280,7280,1, ,40.257,3/8/2021,<Null>,6814-25-9541,5410,5,No,No,6/15/2021,JDW,0, ,0,116129383845524_TRATE, ,6,39.50656, ,644,23084, , , , ,0.75044,0,2022,167,5410,1-1-0-30-0,6814-26-7280,AG 20-100 AC,40.257,AC,192600,173700,18900,0,0,192600,265500,200400,65100,153500,108300,527300,A1,AG/GEN,6814-25-9541,50 - AG 20-100 AC
2,Point,1,1,  6   1    40,6-1-0-40-0,6-1-0-40-0,6832-08-4159, ,1, ,3,12/31/2005,<Null>, ,6622,2,No,No,<Null>, ,0, ,0,116304553828196_TRATE, ,6,3.374606, ,645,0, , , , ,-0.374606,0,2022,223,6622,6-1-0-40-0,6832-08-4159,SNGL FAM SUB,3,AC,56600,0,56600,0,11000,67600,55000,0,55000,0,9500,64500,A1,AG/GEN,6832-08-4159,20 - SNGL FAM SUB
3,Point,1,2,  4   1     6F,4-1-0-6-F,4-1-0-6-0,6803-56-9623, ,1, ,24.563,11/13/2009,<Null>, ,16230,5,No,No,10/30/2019,JDW,0, ,0,116059153836646_TRATE, ,6,23.036635, ,644,0, , , , ,1.526365,0,2022,258,16230,4-1-0-6-F,6803-56-9623,AG 20-100 AC,24.563,AC,135500,123400,12100,0,0,135500,132300,121700,10600,0,0,132300,A1,AG/GEN,6803-56-9623,50 - AG 20-100 AC
4,Point,1,3, 12   1    11,12-1-0-11-0,12-1-0-11-0,6832-23-6621,6621,1, ,136.783,1/25/2022,<Null>,6832-24-5250,4155,6,No,No,1/31/2022,JDW,0, ,0,116325533824208_TRATE, ,6,134.648892, ,645,0, , , , ,2.134108,0,2022,306,4155,12-1-0-11-0,6832-24-5250,AG > 100 AC,189.4,AC,927800,840500,87300,0,0,927800,906800,826300,80500,0,0,906800,A1,AG/GEN,6832-24-5250,60 - AG > 100 AC
5,Point,1,4, 11   1     3A,11-1-0-3-A,11-1-0-3-A,6812-86-5607, ,1, ,1,12/31/2005,<Null>, ,6618,2,No,No,<Null>, ,0, ,0,116185093826672_TRATE, ,6,0.129133, ,644,23084, , , , ,0.870867,0,2022,322,6618,11-1-0-3-A,6812-86-5607,SNGL FAM SUB,1,AC,500,0,500,0,68200,68700,400,0,400,0,59900,60300,A1,AG/GEN,6812-87-9137,60 - AG > 100 AC
6,Point,1,5,1   1    29B,1-1-0-29-B,1-1-0-29-0,6814-05-8104,8104,1, ,150.85,6/10/2021,<Null>,6814-04-8989,21018,6,No,No,6/15/2021,JDW,0, ,0,116108913845031_TRATE, ,6,153.08794, ,644,23084, , , , ,-2.23794,0,2022,430,21018,1-1-0-29-B,6814-05-8104,AG > 100 AC,150.85,AC,509100,437400,71700,0,42400,551500,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,A1,AG/GEN,6814-04-8989,60 - AG > 100 AC
7,Point,1,6,4   1    25D,4-1-0-25-D,4-1-0-25-0,6803-61-5113,5113,1, ,19.25,12/28/2018,<Null>,6803-61-3773,20238,5,No,No,1/7/2019,JDW,0, ,0,116063803831731_TRATE, ,6,19.032172, ,644,0, , , , ,0.217828,0,2022,436,20238,4-1-0-25-D,6803-61-5113,SNGL FAM SUB,19.25,AC,132400,123100,9300,0,0,132400,129300,121100,8200,0,0,129300,A1,AG/GEN,6803-61-4253,50 - AG 20-100 AC
8,Point,1,7, 28   1   119,28-1-0-119-0,28-1-0-119-0,6739-83-3430,3430,1, ,8/13/1900,12/31/2005,<Null>,6739-83-4368,328,6,No,No,5/17/2022,DG,1, ,0,116384643793384_TRATE, ,4,226.234253, ,646,23063, , , , ,0.139747,0,2022,449,328,28-1-0-119-0,6739-83-4368,AG > 100 AC,237,AC,936000,775400,160600,181400,30300,1147700,883500,738000,145500,149800,28500,1061800,A1,AG/GEN,6739-83-4368,60 - AG > 100 AC
9,Point,1,8,  4   1    48A,4-1-0-48-A,4-1-0-48-A,6803-96-7116, ,1, ,1/10/1900,12/31/2005,<Null>, ,9537,2,No,No,4/15/2010,JDW,0, ,0,116097123836169_TRATE, ,6,8.702025, ,644,23038, , , , ,1.297975,0,2022,576,9537,4-1-0-48-A,6803-96-7116,SNGL FAM SUB,10,AC,85600,0,85600,322100,4400,412100,84000,0,84000,287800,4400,376200,A1,AG/GEN,6803-96-7116,20 - SNGL FAM SUB
10,Point,1,9, 11   1     3,11-1-0-3-0,11-1-0-3-A,6812-87-9137, ,1, ,5/22/1900,12/31/2005,<Null>, ,6636,6,No,No,10/23/2020,JDW,0, ,0,116189313827174_TRATE, ,6,80.285023, ,644,23084, , , , ,63.134977,0,2022,585,6636,11-1-0-3-0,6812-87-9137,AG > 100 AC,143.42,AC,105900,0,105900,173600,5000,284500,99600,0,99600,151900,5000,256500,A1,AG/GEN,6812-87-9137,60 - AG > 100 AC
11,Point,1,10,  5  15     2,5-15-0-2-0,5-1-0-28-A,6823-32-6139, ,1,Hidden Acres,1/8/1900,12/31/2005,<Null>, ,2320,2,No,No,<Null>, ,0, ,0,116236353832193_TRATE, ,6,9.085474, ,644,0, , , , ,-0.215474,0,2022,624,2320,5-15-0-2-0,6823-32-6139,SNGL FAM SUB,8.87,AC,59500,0,59500,0,10200,69700,58300,0,58300,0,9500,67800,A1,AG/GEN,6823-32-6139,20 - SNGL FAM SUB
12,Point,1,11, 12  27     C,12-27-0-C-0,12-1-0-26-0,6821-97-7098, ,1, ,1/9/1900,4/17/2018,<Null>,6831-06-2965,16138,2,No,No,4/30/2018,JDW,0, ,0,116302603816955_TRATE, ,6,9.171425, ,645,23153, , , , ,0.047575,0,2022,769,16138,12-27-0-C-0,6821-97-7098,SNGL FAM SUB,9.219,AC,93000,0,93000,354300,100,447400,95400,0,95400,314900,100,410400,A1,AG/GEN,6821-96-7867,20 - SNGL FAM SUB
13,Point,1,12,  5   1    36F,5-1-0-36-F,5-1-0-36-0,6813-97-8395, ,1, ,0,12/31/2005,<Null>,6813-96-7716,14329,7,No,No,<Null>, ,0, ,0,116198913837359_TRATE, ,6,0.028022,CEMETERY,644,0, , , , ,-0.028022,0,2022,941,14329,5-1-0-36-F,6813-97-8395,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6813-96-7834,50 - AG 20-100 AC
14,Point,1,13,6   16    3,6-16-0-3-0,6-1-0-9-0,6823-84-5857,5857,1, ,33.242,9/25/2018,<Null>, ,20221,5,No,No,12/12/2018,JDW,0, ,0,116279743835207_TRATE, ,6,32.512605, ,645,0, , , , ,0.729395,0,2022,958,20221,6-16-0-3-0,6823-84-5857,AG 20-100 AC,33.242,AC,141400,0,141400,0,0,141400,148300,0,148300,0,0,148300,A1,AG/GEN,6823-84-4952,50 - AG 20-100 AC
15,Point,1,14,5   33    3,5-33-0-3-0,5-1-0-15-B,6813-74-0876, ,1, ,2.74,3/26/2018,<Null>, ,20026,2,No,No,4/16/2018,JDW,0, ,0,116173103834862_TRATE, ,6,2.723985, ,644,23084, , , , ,0.016015,0,2022,969,20026,5-33-0-3-0,6813-74-0876,SNGL FAM SUB,2.74,AC,48600,0,48600,233100,3100,284800,47700,0,47700,206800,3400,257900,A1,AG/GEN,6813-74-3806,20 - SNGL FAM SUB
16,Point,1,15,  5  18     8,5-18-0-8-0,5-1-0-40-0,6823-08-6850,6850,1,Royal Oak Estate,8.4,12/31/2005,<Null>,6823-08-6865,11766,2,No,No,<Null>, ,0, ,0,116206663838852_TRATE, ,6,8.60736, ,644,23093, , , , ,-0.20736,0,2022,1104,11766,5-18-0-8-0,6823-08-6850,SNGL FAM SUB,8.4,AC,77400,0,77400,207300,0,284700,76000,0,76000,176400,0,252400,RR,RES/RUR,6823-08-6865,20 - SNGL FAM SUB
17,Point,1,16, 12   1    32,12-1-0-32-0,12-1-0-32-0,6831-11-8716, ,1, ,5/11/1900,4/23/2030,<Null>, ,489,6,No,No,9/23/2021,JDW,0, ,0,116318143811764_TRATE, ,6,129.013154, ,646,23153, , , , ,3.566846,0,2022,1185,489,12-1-0-32-0,6831-11-8716,AG > 100 AC,132.58,AC,712000,0,712000,28200,400,740600,688800,0,688800,23900,900,713600,A1,AG/GEN,6831-11-8716,60 - AG > 100 AC
18,Point,1,17,  3   4     3,3-4-0-3-0,3-1-0-8-0,5892-98-6817, ,1,Caledonia Pines,1/22/1900,12/31/2005,<Null>, ,15930,5,No,No,<Null>, ,0, ,0,115996173828878_TRATE, ,6,22.387238, ,644,0, , , , ,0.305762,0,2022,1303,15930,3-4-0-3-0,5892-98-6817,AG 20-100 AC,22.693,AC,99600,44700,54900,0,11600,111200,103100,51500,51600,0,10200,113300,A1,AG/GEN,5892-98-6817,50 - AG 20-100 AC
19,Point,1,18,6   18    2,6-18-0-2-0,6-1-0-43-0,6832-07-7584,7584,1, ,3.57,7/3/2019,<Null>,6832-07-8763,20262,2,No,No,7/22/2019,JDW,0, ,0,116308663827734_TRATE, ,6,3.569764, ,645,23117, , , , ,0.000236,0,2022,1371,20262,6-18-0-2-0,6832-07-7584,SNGL FAM SUB,3.57,AC,53300,0,53300,206200,0,259500,51900,0,51900,172300,0,224200,A1,AG/GEN,6832-07-8763,20 - SNGL FAM SUB
20,Point,1,19,  9   1     2,9-1-0-2-0,9-1-0-2-0,5892-65-5559, ,1, ,15,12/31/2005,<Null>, ,936,2,No,No,2/6/2019,JDW,0, ,0,115964433825862_TRATE, ,4,15.570574, ,644,0, , , , ,-0.570574,0,2022,1448,936,9-1-0-2-0,5892-65-5559,SNGL FAM SUB,15,AC,77100,0,77100,0,0,77100,73000,0,73000,0,0,73000,A1,AG/GEN,5892-65-5559,20 - SNGL FAM SUB
21,Point,1,20, 13   1     7,13-1-0-7-0,13-1-0-7-0,6842-61-2850,2850,1, ,38.54,12/31/2005,<Null>,6842-61-3815,9420,5,No,No,2/4/2021,JDW,0, ,0,116463143821854_TRATE, ,6,38.037648, ,646,0, , , , ,0.502352,0,2022,1502,9420,13-1-0-7-0,6842-61-2850,AG 20-100 AC,38.54,AC,139000,121200,17800,0,0,139000,136300,119900,16400,0,0,136300,A1,AG/GEN,6842-61-3815,50 - AG 20-100 AC
22,Point,1,21,9   1   67,9-1-0-67-0,9-1-0-67-0,5892-61-2994, ,1, ,16,12/31/2005,<Null>, ,5900,5,No,No,9/28/2018,JDW,0, ,0,115964033821873_TRATE, ,4,15.706501, ,644,23038, , , , ,0.293499,0,2022,1509,5900,9-1-0-67-0,5892-61-4807,SNGL FAM SUB,16,AC,77700,0,77700,17300,0,95000,75500,0,75500,14700,0,90200,A1,AG/GEN,5892-61-4807,50 - AG 20-100 AC
23,Point,1,22, 10   3     3,10-3-0-3-0,10-3-0-2-0,6812-21-0810,810,1, ,0.092,12/23/2003,<Null>,6812-21-1703,17599,2,No,No,4/30/2019,JDW,0, ,0,116121003821734_TRATE, ,6,0.092215, ,644,0, , , , ,-0.000215,0,2022,1518,17599,10-3-0-3-0,6812-21-0810,SNGL FAM SUB,0.092,AC,400,0,400,0,0,400,400,0,400,0,0,400,A1,AG/GEN,6812-11-7962,20 - SNGL FAM SUB
24,Point,1,23,9   14    4,9-14-0-4-0,9-1-0-63-0,5892-50-8298,8298,1,Community Forest,25.74,4/15/2019,<Null>,5892-60-2480,672,5,No,No,5/7/2019,JDW,0, ,0,115962873820401_TRATE, ,4,25.729506, ,644,0, , , , ,0.010494,0,2022,1566,672,9-14-0-4-0,5892-50-8298,AG 20-100 AC,25.74,AC,77800,65900,11900,0,0,77800,77200,66300,10900,0,0,77200,A1,AG/GEN,5892-60-2480,50 - AG 20-100 AC
25,Point,1,24, 12   1    33,12-1-0-33-0,12-1-0-33-0,6831-13-4154,4154,1, ,8.3,12/31/2005,<Null>,6831-12-6906,490,2,No,No,<Null>, ,0, ,0,116316073812966_TRATE, ,6,7.625181, ,646,0, , , , ,0.674819,0,2022,1613,490,12-1-0-33-0,6831-13-4154,SNGL FAM SUB,8.3,AC,74600,0,74600,0,0,74600,73800,0,73800,0,0,73800,A1,AG/GEN,6831-13-2711,50 - AG 20-100 AC
26,Point,1,25, 21   1    55,21-1-0-55-0,21-1-0-55-0,6850-83-3077, ,1, ,1.24,12/31/2005,<Null>,6850-83-3027,3706,2,No,No,12/18/2017,JDW,0, ,0,116583253803079_TRATE, ,5,1.086965,Centroid in Louisa Census Boundary, ,23065, , , , ,0.153035,0,2022,1617,3706,21-1-0-55-0,6850-83-3077,SNGL FAM SUB,1.24,AC,57000,0,57000,5000,7600,69600,52400,0,52400,5000,5400,62800,A2,AG/LTD,6850-83-3077,20 - SNGL FAM SUB
27,Point,1,26,20   30    4,20-30-0-4-0,20-1-0-23-0,6840-10-5685,5685,1, ,21.65,8/8/2019,<Null>,6840-11-7140,2223,5,No,No,8/19/2019,JDW,0, ,0,116417413801109_TRATE, ,5,21.836574, ,646,0, , , , ,-0.186574,0,2022,1622,2223,20-30-0-4-0,6840-10-5685,AG 20-100 AC,21.65,AC,117700,107700,10000,0,0,117700,108800,99600,9200,0,0,108800,A1,AG/GEN,6840-11-7140,50 - AG 20-100 AC
